Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Valor máximo,Valor mínimo,Media,Mediana,Desviación estándar,Varianza,Longitud,Latitud
Austria,79.70019,83.63543,77.01375,77.12012,77.69987,81.15693,84.51364,84.03659,83.38504,81.72971,82.24676,86.25302,87.80772,93.37581,93.41681,94.62197,91.8685,89.27092,89.12791,82.16195,87.13005,84.88819,82.13249,82.14652,78.3789,81.00049,94.62197,77.01375,84.5519642857,83.63543,5.20185560217,222.594086202,14.550072,47.516231
Belgium,148.79163,147.99721,147.88603,146.88134,154.71094,157.26726,161.39368,153.1432,158.77325,152.96377,154.19172,152.13082,150.99341,151.62596,152.90203,148.68098,146.27785,142.83935,143.15407,129.91257,136.64248,126.27003,123.11367,123.26707,118.14961,121.64189,161.39368,118.14961,143.969468214,147.99721,12.9239765323,698.835514897,4.469936,50.503887
Bulgaria,104.37294,82.49572,78.27992,77.57032,73.78592,75.31556,75.17786,71.59081,67.47588,60.51239,59.61143,62.77832,59.88056,64.444,63.58753,64.26321,64.80383,68.69616,67.38378,58.20331,60.81133,66.13029,61.01338,55.81253,58.02172,62.02112,104.37294,55.81253,68.7223317857,64.80383,11.7109893113,233.724735227,25.48583,42.733883
Switzerland,56.86018,58.69823,58.57869,56.03751,55.12425,56.20908,57.07783,55.95957,57.74779,57.78887,57.25005,58.56687,56.62411,57.40572,57.83035,58.49555,58.30139,56.61852,58.46465,56.96004,58.76428,54.98178,56.42059,57.39329,53.51149,53.09387,58.76428,53.09387,56.8793821429,57.07783,1.58720842175,97.8996516312,8.227511999999999,46.818188
Cyprus,6.36104,6.99569,7.40828,7.57899,7.84188,7.85666,8.11784,8.23461,8.60357,8.88329,9.16521,9.26527,9.46413,9.92401,10.06752,10.15927,10.42867,10.75302,10.96645,10.69787,10.4173,10.14404,9.60743,8.83117,9.20654,9.18877,10.96645,6.36104,9.05342892857,9.18877,1.28833065054,3.49075460624,33.429859,35.126413
Czech Republic,198.47704,179.59436,172.8852,164.94652,157.16965,157.61561,159.59394,155.92297,149.93692,140.70544,149.97398,149.62383,145.97508,149.47062,150.50245,148.59182,150.32354,151.79611,147.29018,138.82599,140.55869,138.82065,135.3576,131.42161,127.49907,128.82067,198.47704,127.49907,151.702701786,149.93692,17.2790532486,852.531717315,15.472962,49.81749199999999
Germany (until 1990 former territory of the FRG),1262.98832,1215.67463,1166.12157,1157.80411,1138.69948,1135.74822,1154.41571,1120.28488,1095.15177,1063.23053,1062.23902,1076.76188,1055.64015,1052.93255,1037.0295,1014.86251,1023.36728,997.40966,1000.00048,931.56234,965.96978,945.39602,951.84504,970.71861,928.82576,926.47901,1262.98832,926.47901,1058.59379071,1055.64015,95.9048378238,37826.5455572,10.451526,51.165691
Denmark,72.10436,82.65967,76.72238,79.0223,83.07797,80.12345,93.30767,83.81271,79.91688,77.49911,73.12215,74.75028,74.01778,79.08148,73.24712,68.931,76.66148,72.09553,68.45298,65.23439,65.64261,60.47896,55.65677,57.48871,53.5088,50.98362,93.30767,50.98362,72.2104089286,73.24712,10.8696749712,231.932503575,9.501785,56.26392
Estonia,40.51041,37.35256,27.29051,21.36564,22.06292,20.26732,20.96615,20.60983,19.00003,17.67368,17.3774,17.76152,17.2265,19.11618,19.41358,19.30258,18.54541,22.32821,20.08309,16.77784,21.2558,21.28527,20.23125,21.9435,21.20445,18.11485,40.51041,16.77784,22.0126689286,20.26732,6.21989201341,45.1678361103,25.0136071,58.595272
Greece,105.57734,105.30585,106.64844,106.38352,109.62169,111.79406,114.82991,119.65883,125.37928,125.87001,128.87482,129.74959,129.74739,134.19661,134.96116,138.88212,135.14488,137.92235,134.62977,127.15604,120.9151,118.05064,114.43161,104.92431,102.20752,98.60863,138.88212,98.60863,119.962936429,119.962936429,12.6103412945,513.659363679,21.824312,39.074208
Spain,293.44941,301.54839,311.7927,301.88425,318.63369,335.16803,326.89252,341.4829,352.35949,379.75588,395.76237,393.33693,411.30022,419.17531,436.29908,451.58346,443.43371,453.22503,421.07543,382.69497,369.56474,371.52789,365.39715,336.51925,338.27641,350.4032,453.22503,293.44941,369.6148875,369.56474,49.0893221725,5539.17298292,-3.74922,40.46366700000001
