Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,13.66304,13.69632,12.05417,12.00475,12.73949,13.60567,13.05724,14.22014,13.86542,13.64728,14.64204,14.52342,15.16623,15.30779,14.86346,15.61247,16.25169,16.94067,17.27378,13.94838,15.92615,16.08457,15.69725,15.97801,16.13337,16.67638
Belgium,26.23807,25.26152,26.36213,25.50715,28.496,30.18343,29.69501,26.962,28.1099,27.22378,28.41877,27.01621,26.80869,26.64083,27.66391,26.39504,25.67439,23.91376,24.28221,18.56063,21.42388,20.58435,19.01334,19.73019,19.72488,19.5493
Bulgaria,10.04688,7.85542,6.6126,6.90367,8.41951,10.45373,10.31425,9.5354,7.14135,6.26465,7.21014,7.16532,6.4424,7.10862,7.21391,7.683,7.47643,7.98191,7.15711,4.16273,4.43837,5.01715,4.78807,4.75872,5.0959,5.69926
Switzerland,3.58503,3.21225,3.04978,2.73805,2.93258,2.92214,2.79257,2.70608,2.82122,2.88413,3.13883,3.23851,3.27342,3.36371,3.65829,3.79532,3.78489,3.84758,3.92436,3.81064,4.0221,4.06395,4.06634,4.096,4.13959,3.99173
Cyprus,0.76491,0.72451,0.7765,0.84967,0.88703,0.85564,0.91546,0.88521,0.84449,0.85768,0.88838,0.88524,0.93039,0.94644,1.03237,1.06786,1.132,1.15041,1.18531,1.04701,0.94206,0.95854,0.95716,1.1993,1.41412,1.31653
Czech Republic,17.08037,13.82262,14.58797,13.42978,14.66786,14.15741,14.83419,15.72731,15.83377,13.28245,14.72047,13.97955,13.76746,14.81557,15.74525,14.59183,15.66366,16.48226,16.43862,13.96407,14.9653,15.25784,15.01207,14.98278,15.78785,15.41384
Germany (until 1990 former territory of the FRG),96.64284,92.74389,92.78395,93.82575,99.14693,97.33867,95.52925,95.77604,81.94838,73.87461,76.89477,73.83951,72.62674,76.57488,78.55516,75.48813,75.73984,76.95431,73.14891,65.49565,62.53427,62.46277,61.49203,61.37301,61.44593,61.53449
Denmark,2.34335,2.46951,2.52249,2.59239,2.70555,2.87822,3.02157,3.10495,3.20379,3.44167,3.63106,3.51496,3.46791,3.48153,3.31243,2.78897,2.8481,2.8766,2.57466,2.09162,2.03433,2.17549,2.12115,2.13243,2.07128,1.99168
Estonia,0.96573,0.96827,0.57626,0.35535,0.6018,0.63743,0.65381,0.70515,0.75843,0.69401,0.6976,0.7331,0.55508,0.60301,0.74141,0.72642,0.76425,0.95772,0.96434,0.47591,0.53758,0.66046,0.90444,0.99601,0.70769,0.51292
Greece,11.22696,11.1634,10.57736,11.02832,11.63659,13.56965,14.33811,14.8356,15.55278,16.38935,15.17638,14.5755,14.76863,14.53225,14.67333,15.42562,12.73951,13.17376,12.98741,11.18512,11.66202,10.32048,11.14073,11.86199,12.23295,11.89629
Spain,29.99407,28.42116,27.24114,26.09598,30.38175,32.20793,32.97795,35.14982,36.90471,40.02214,41.91124,38.61977,37.60232,39.87735,40.36364,42.39773,43.92835,44.21369,42.90092,38.03847,40.8171,38.72383,36.94903,34.56683,36.18392,30.75967
European Union (28 countries),516.88629,482.85012,463.71899,455.01575,482.48975,497.20967,497.97892,504.18642,480.08158,440.6209,452.49084,437.1294,432.85487,446.47203,461.455,459.95377,456.60025,467.31447,442.55392,371.14165,390.00758,386.67594,374.19847,371.56668,378.03051,373.93741
Finland,5.37016,4.96637,4.67725,4.70842,4.90623,4.91367,5.12108,5.40229,5.43128,5.61431,5.82736,5.8663,5.84207,6.095,6.406,6.49724,6.53587,7.10546,7.45957,5.73831,6.26015,6.01466,6.02352,5.99593,5.92101,6.07618
France,66.79827,66.97059,64.863,62.46555,63.51199,63.46369,63.95818,64.64837,59.06285,54.78628,53.47366,53.47155,53.53302,54.28281,52.80071,52.76599,51.78777,52.2032,49.99926,45.15651,46.64338,46.41722,44.56183,44.86523,45.16503,44.51895
Croatia,4.62876,3.53098,2.92573,2.40996,2.68706,2.4405,2.43865,2.67906,2.43082,2.85848,3.1275,3.14195,3.08399,3.08104,3.44402,3.50764,3.66754,3.83877,3.76103,3.05621,3.31526,3.08366,2.8092,2.53856,2.688,2.66551
Hungary,11.83184,8.07833,6.36542,7.24001,8.73196,8.33288,8.68032,8.07702,7.70246,7.63286,8.32712,8.32748,7.68297,7.93312,8.70321,9.33831,8.89529,8.65282,7.48925,6.45576,6.61027,6.73606,6.22618,5.71113,6.54338,7.30201
Ireland,3.27217,2.98556,2.93696,2.93297,3.20702,3.27364,3.4779,3.98571,3.83626,3.93777,4.74275,4.87571,4.27993,3.61153,3.65583,3.769,3.87526,3.92737,3.49536,2.67821,2.45849,2.33239,2.53556,2.57673,3.00192,3.13531
Iceland,0.9542,0.83405,0.60427,0.56129,0.52739,0.56739,0.54252,0.6714,0.82364,0.97085,1.00378,1.00712,0.98314,0.98014,0.98111,0.96015,1.43116,1.57251,2.10428,1.91347,1.94705,1.84154,1.9335,1.95936,1.93902,2.02097
Italy,40.4526,39.99469,39.37497,36.39083,34.97896,38.21541,35.18794,35.81728,36.43061,36.89696,38.76238,40.56754,40.81848,42.30874,45.06423,45.65999,41.56889,41.76176,39.05182,33.73072,34.55601,34.49614,31.57188,30.70738,30.22895,30.04895
Liechtenstein,0.00045,0.00045,0.00051,0.0006,0.0009,0.00172,0.00206,0.00244,0.00304,0.00364,0.00446,0.00536,0.00597,0.00665,0.00751,0.00792,0.00817,0.00889,0.00975,0.00953,0.00999,0.01023,0.01062,0.01106,0.01099,0.0107
Lithuania,4.50271,4.53509,2.68979,1.75931,1.95591,2.24306,2.63315,2.59641,3.00368,2.93916,3.09439,3.3426,3.51516,3.5978,3.78719,4.10863,4.3674,6.14487,5.47554,2.29445,2.23919,3.71953,3.56542,3.00041,3.17687,3.39658
Luxembourg,1.64025,1.56167,1.50397,1.48151,1.38981,1.03171,0.97724,0.86997,0.71196,0.75089,0.77935,0.72592,0.74681,0.69404,0.75404,0.72549,0.77976,0.77592,0.72151,0.6513,0.67552,0.69217,0.6329,0.61696,0.63308,0.62608
Latvia,0.70505,0.6237,0.311,0.15099,0.19715,0.20802,0.21751,0.22964,0.23786,0.27043,0.22337,0.24576,0.26095,0.27765,0.30916,0.30825,0.36993,0.3944,0.40289,0.40514,0.68025,0.80714,0.8817,0.81979,0.82368,0.76054
Malta,0.00794,0.00816,0.00917,0.00921,0.00951,0.00947,0.00926,0.00947,0.00889,0.00836,0.0152,0.01922,0.02313,0.02485,0.03711,0.04948,0.0869,0.10459,0.12003,0.14035,0.15217,0.17902,0.20676,0.22385,0.23545,0.24839
Netherlands,24.8509,23.63722,24.1966,25.28243,27.50373,26.21089,28.05618,29.38883,29.98126,23.55852,22.40951,18.18651,18.71029,16.71722,17.14274,17.24335,16.88205,16.39906,11.88345,11.66827,12.14526,12.39207,11.71569,11.59011,11.00055,11.48249
Norway,14.49779,13.24811,10.60569,11.381,11.68869,11.60203,11.38841,11.48865,11.73943,11.94731,12.08265,11.59911,10.99165,10.20487,10.95508,10.61776,9.74516,9.85001,9.7087,7.38529,8.20314,8.19785,8.20157,8.27267,8.43212,8.46424
Poland,22.69333,20.09242,19.69546,19.30978,21.25505,22.69159,22.04045,22.9565,21.3801,20.5833,23.80206,22.47412,20.80061,23.68151,25.47529,25.4508,27.80065,30.37276,28.9591,22.87265,24.89711,27.7682,26.74738,26.50293,28.12159,28.52512
Portugal,5.83926,5.80073,5.50354,5.39751,5.4285,6.1071,6.13091,6.60753,6.77156,7.16787,7.42129,6.95615,7.3192,7.39074,8.11236,8.13895,7.93481,8.78826,8.62319,6.94393,7.36793,6.78813,6.51421,7.0025,7.50308,7.57889
Romania,30.44012,22.57227,19.54616,20.23321,20.2806,23.55919,22.96008,21.98324,19.99384,17.26076,18.43806,17.74736,18.6462,19.42445,21.19027,21.0209,20.54213,20.77326,17.15638,11.78382,13.195,13.85961,13.07374,11.05781,11.52248,11.87223
Sweden,7.16016,6.9331,6.3935,6.58322,6.9954,7.35187,7.07823,7.08019,7.26614,7.37088,7.56586,7.60302,7.79625,7.47514,7.94003,7.88498,7.86993,7.81192,7.57534,5.6328,7.49895,7.03037,6.67981,6.55302,6.44332,6.41638
Slovenia,1.37564,1.06977,1.05514,0.85282,1.03004,1.06751,1.06909,1.10875,1.08593,1.10769,1.14998,1.20178,1.20925,1.28564,1.33727,1.41676,1.46846,1.47521,1.33235,0.9992,1.00067,1.01881,1.04462,1.10549,1.14299,1.17226
Slovakia,9.81305,7.60419,7.22674,8.24304,8.45731,9.38333,9.69595,9.7334,9.87536,9.49025,8.59417,8.76551,9.81085,9.41198,10.70128,10.25756,11.13695,10.9782,10.85,9.29297,9.60994,9.20001,9.12309,8.84691,9.06443,9.28516
Turkey,23.69919,25.43147,25.12016,25.9708,25.32522,27.30268,28.11182,29.00848,29.34597,27.79739,27.80434,27.89951,29.25458,30.45123,33.11486,35.89731,38.95854,41.48956,43.40419,45.10854,50.98809,55.80695,57.71539,60.17695,60.77864,60.71822
United Kingdom,66.53786,64.75864,60.35005,56.97215,60.28101,60.81835,62.90996,64.11113,60.7077,42.6885,40.54597,38.75834,36.63985,39.29049,40.42937,39.63334,38.81244,41.1615,39.28456,32.67147,35.42097,31.89526,32.20972,34.27266,34.01681,33.476
